archivo,metodo,paginas,chars,marcas_juridicas,estado,detalle,segundos
05045_3103_001_2007_00062_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227805_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
11001_0203_000_2007_01235_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_14_10__227892_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2001_00223_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_01_12__228048_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2010_01111_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_23_11__228009_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2011_00008_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_09_11__228004_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2010_00211_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_09_11__228006_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2009_00068_00_clase_de_actuación_recurso_de_revision_tipo_de_providencia_sentencia_fe_213330_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_0203_000_2011_00234_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_24_10__227899_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_02_03_000_2008_00595_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_24_02_211534_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_3103_001_1985_00134_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227783_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_3103_005_2000_01474_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_228333_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_02_03_000_2006_01989_00_clase_de_actuación_exequatur_tipo_de_providencia_sentencia_fecha_25_02_213328_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_3103_010_2000_00155_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227806_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_3103_012_1999_01957_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227858_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
11001_3103_018_1999_00533_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_su_228007_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,0.4
